Explosion | The Engineering Control | -1, 1, 3, 
Explosion | The Engineering Control | -1, 1, 3, 
Explosion | The Kitchen | -1, 0, 2, 
Explosion | The Kitchen | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Escape Pod One | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, -1, 3, 
Explosion | The Engineering Control | -1, -1, 3, 
Explosion | The Engineering Control | -1, -1, 3, 
Explosion | The Engineering Control | -1, -1, 3, 
Explosion | The Engineering Control | -1, -1, 3, 
Explosion | The Engineering Control | -1, -1, 3, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Kitchen | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Central Primary Hallway | -1, 0, 2, 
Explosion | The Engineering Control | 1, 2, 3, 3
Explosion | The Engineering Control | -1, 0, 2, 
Explosion | The Engineering Control | -1, 0, 2, 
Explosion | The Engineering Control | -1, 0, 2, 
Explosion | The Engineering Control | -1, 0, 2, 
